[140322402092864] | 05:15:02 | INFO | GENERAL | Scraping process initiated
[140322402092864] | 05:15:05 | INFO | GENERAL | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15
[140322158171904] | 05:15:06 | INFO | ('VALENCIA / VALÈNCIA', 'Gasóleo Premium') | Initializing
[140322300782336] | 05:15:06 | INFO | ('JAÉN', 'Gases licuados del petróleo') | Initializing
[140322309175040] | 05:15:06 | INFO | ('TARRAGONA', 'Gasóleo A habitual') | Initializing
[140322317567744] | 05:15:06 | INFO | ('CÓRDOBA', 'Gasóleo B') | Initializing
[140322016691968] | 05:15:06 | INFO | ('VALLADOLID', 'Gasolina 98 E10') | Initializing
[140322008299264] | 05:15:06 | INFO | ('TERUEL', 'Hidrógeno') | Initializing
[140321999906560] | 05:15:06 | INFO | ('ZAMORA', 'Gasolina 95 E5') | Initializing
[140321991513856] | 05:15:06 | INFO | ('TERUEL', 'Gasóleo Premium') | Initializing
[140321983121152] | 05:15:06 | INFO | ('CEUTA', 'Gases licuados del petróleo') | Initializing
[140321974728448] | 05:15:06 | INFO | ('LUGO', 'Gasolina 98 E5') | Initializing
[140321966335744] | 05:15:06 | INFO | ('CANTABRIA', 'Gasóleo Premium') | Initializing
[140321212069632] | 05:15:06 | INFO | ('ZARAGOZA', 'Gasolina 98 E10') | Initializing
[140321203676928] | 05:15:06 | INFO | ('SEGOVIA', 'Gases licuados del petróleo') | Initializing
[140321195284224] | 05:15:06 | INFO | ('GIRONA', 'Gasóleo B') | Initializing
[140321186891520] | 05:15:06 | INFO | ('BALEARS (ILLES)', 'Gasolina 98 E5') | Initializing
[140321178498816] | 05:15:06 | INFO | ('MURCIA', 'Gasolina 98 E5') | Initializing
[140321161713408] | 05:15:06 | INFO | ('ASTURIAS', 'Gasóleo A habitual') | Initializing
[140320675198720] | 05:15:06 | INFO | ('CUENCA', 'Biodiésel') | Initializing
[140321170106112] | 05:15:06 | INFO | ('BIZKAIA', 'Gasóleo Premium') | Initializing
[140320666806016] | 05:15:06 | INFO | ('MURCIA', 'Gas natural comprimido') | Initializing
[140320658413312] | 05:15:06 | INFO | ('PALMAS (LAS)', 'Gasóleo Premium') | Initializing
[140320650020608] | 05:15:06 | INFO | ('LLEIDA', 'Gasóleo Premium') | Initializing
[140320641627904] | 05:15:06 | INFO | ('LEÓN', 'Gasolina 95 E5') | Initializing
[140320633235200] | 05:15:06 | INFO | ('GRANADA', 'Gasolina 95 E5') | Initializing
[140320624842496] | 05:15:06 | INFO | ('ASTURIAS', 'Gasóleo B') | Initializing
[140321999906560] | 05:15:29 | INFO | ('ZAMORA', 'Gasolina 95 E5') | Agent is Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.38 Safari/537.36
[140320666806016] | 05:15:29 | INFO | ('MURCIA', 'Gas natural comprimido') | Agent is Mozilla/5.0 (Windows NT 6.1; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0
[140322300782336] | 05:15:29 | INFO | ('JAÉN', 'Gases licuados del petróleo') | Agent is Mozilla/5.0 (Windows NT 6.1; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0
[140322158171904] | 05:15:29 | INFO | ('VALENCIA / VALÈNCIA', 'Gasóleo Premium') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7
[140321974728448] | 05:15:30 | INFO | ('LUGO', 'Gasolina 98 E5') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[140322309175040] | 05:15:30 | INFO | ('TARRAGONA', 'Gasóleo A habitual') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15
[140321966335744] | 05:15:30 | INFO | ('CANTABRIA', 'Gasóleo Premium') | Agent is Mozilla/5.0 (Windows NT 6.3; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0
[140321991513856] | 05:15:30 | INFO | ('TERUEL', 'Gasóleo Premium') | Agent is Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36
[140322008299264] | 05:15:30 | INFO | ('TERUEL', 'Hidrógeno') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[140321170106112] | 05:15:31 | INFO | ('BIZKAIA', 'Gasóleo Premium') | Agent is Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36 Edg/105.0.1343.42
[140321203676928] | 05:15:32 | INFO | ('SEGOVIA', 'Gases licuados del petróleo') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/601.6.17 (KHTML, like Gecko) Version/9.1.1 Safari/601.6.17
[140321178498816] | 05:15:33 | INFO | ('MURCIA', 'Gasolina 98 E5') | Agent is Mozilla/5.0 (Windows NT 6.1; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0
[140321212069632] | 05:15:33 | INFO | ('ZARAGOZA', 'Gasolina 98 E10') | Agent is Mozilla/5.0 (Windows NT 6.3; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0
[140320658413312] | 05:15:33 | INFO | ('PALMAS (LAS)', 'Gasóleo Premium') | Agent is Mozilla/5.0 (Windows NT 10.0; rv:65.0) Gecko/20100101 Firefox/65.0
[140321161713408] | 05:15:35 | INFO | ('ASTURIAS', 'Gasóleo A habitual') | Agent is Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.38 Safari/537.36
[140320675198720] | 05:15:35 | INFO | ('CUENCA', 'Biodiésel') | Agent is Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[140322317567744] | 05:15:36 | INFO | ('CÓRDOBA', 'Gasóleo B') | Agent is Mozilla/5.0 (Windows NT 6.1; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0
[140320633235200] | 05:15:37 | INFO | ('GRANADA', 'Gasolina 95 E5') | Agent is Mozilla/5.0 (Windows NT 10.0; rv:65.0) Gecko/20100101 Firefox/65.0
[140321212069632] | 05:15:37 | INFO | ('ZARAGOZA', 'Gasolina 98 E10') | Combination without results
[140320666806016] | 05:15:38 | INFO | ('MURCIA', 'Gas natural comprimido') | 1 pages found
[140320666806016] | 05:15:38 | INFO | ('MURCIA', 'Gas natural comprimido') | Crawling page = 1/1
[140321983121152] | 05:15:38 | INFO | ('CEUTA', 'Gases licuados del petróleo') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
[140322016691968] | 05:15:38 | INFO | ('VALLADOLID', 'Gasolina 98 E10') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
[140321195284224] | 05:15:38 | INFO | ('GIRONA', 'Gasóleo B') | Agent is Mozilla/5.0 (Windows NT 10.0; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0
[140320650020608] | 05:15:38 | INFO | ('LLEIDA', 'Gasóleo Premium') | Agent is Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:49.0) Gecko/20100101 Firefox/49.0
[140320641627904] | 05:15:38 | INFO | ('LEÓN', 'Gasolina 95 E5') | Agent is Mozilla/5.0 (Windows NT 10.0; rv:65.0) Gecko/20100101 Firefox/65.0
[140320624842496] | 05:15:38 | INFO | ('ASTURIAS', 'Gasóleo B') | Agent is Mozilla/5.0 (Windows NT 6.1; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0
[140321186891520] | 05:15:38 | INFO | ('BALEARS (ILLES)', 'Gasolina 98 E5') | Agent is Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36
[140321203676928] | 05:15:40 | INFO | ('SEGOVIA', 'Gases licuados del petróleo') | 1 pages found
[140321203676928] | 05:15:40 | INFO | ('SEGOVIA', 'Gases licuados del petróleo') | Crawling page = 1/1
[140320675198720] | 05:15:40 | INFO | ('CUENCA', 'Biodiésel') | Combination without results
[140321974728448] | 05:15:41 | INFO | ('LUGO', 'Gasolina 98 E5') | 3 pages found
[140321974728448] | 05:15:41 | INFO | ('LUGO', 'Gasolina 98 E5') | Crawling page = 1/3
[140322309175040] | 05:15:42 | INFO | ('TARRAGONA', 'Gasóleo A habitual') | 10 pages found
[140322309175040] | 05:15:42 | INFO | ('TARRAGONA', 'Gasóleo A habitual') | Crawling page = 1/10
[140322300782336] | 05:15:42 | INFO | ('JAÉN', 'Gases licuados del petróleo') | 1 pages found
[140322300782336] | 05:15:42 | INFO | ('JAÉN', 'Gases licuados del petróleo') | Crawling page = 1/1
