[140052065003328] | 05:15:02 | INFO | GENERAL | Scraping process initiated
[140052065003328] | 05:15:06 | INFO | GENERAL | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15
[140051854636800] | 05:15:07 | INFO | ('PALMAS (LAS)', 'Gas natural comprimido') | Initializing
[140051863029504] | 05:15:07 | INFO | ('CEUTA', 'Gas natural comprimido') | Initializing
[140051871422208] | 05:15:07 | INFO | ('GIPUZKOA', 'Gasóleo Premium') | Initializing
[140051980478208] | 05:15:07 | INFO | ('CIUDAD REAL', 'Gasolina 98 E10') | Initializing
[140051679602432] | 05:15:07 | INFO | ('BARCELONA', 'Gasolina 95 E10') | Initializing
[140051671209728] | 05:15:07 | INFO | ('ARABA/ÁLAVA', 'Gasolina 95 E5') | Initializing
[140051662817024] | 05:15:07 | INFO | ('ARABA/ÁLAVA', 'Gasóleo C') | Initializing
[140051654424320] | 05:15:07 | INFO | ('PONTEVEDRA', 'Gasóleo Premium') | Initializing
[140051646031616] | 05:15:07 | INFO | ('CORUÑA (A)', 'Gasóleo A habitual') | Initializing
[140051031783168] | 05:15:07 | INFO | ('CÁCERES', 'Hidrógeno') | Initializing
[140051023390464] | 05:15:07 | INFO | ('CANTABRIA', 'Gas natural licuado') | Initializing
[140051014997760] | 05:15:07 | INFO | ('BALEARS (ILLES)', 'Gasolina 98 E10') | Initializing
[140051006605056] | 05:15:07 | INFO | ('SEVILLA', 'Gas natural licuado') | Initializing
[140050998212352] | 05:15:07 | INFO | ('VALLADOLID', 'Gasóleo B') | Initializing
[140050989819648] | 05:15:07 | INFO | ('CUENCA', 'Biodiésel') | Initializing
[140050981426944] | 05:15:07 | INFO | ('HUESCA', 'Biodiésel') | Initializing
[140050494912256] | 05:15:07 | INFO | ('ALBACETE', 'Gasóleo Premium') | Initializing
[140050486519552] | 05:15:07 | INFO | ('BADAJOZ', 'Gasolina 95 E5 Premium') | Initializing
[140050478126848] | 05:15:07 | INFO | ('VALENCIA / VALÈNCIA', 'Biodiésel') | Initializing
[140050469734144] | 05:15:07 | INFO | ('SORIA', 'Gasóleo A habitual') | Initializing
[140050461341440] | 05:15:07 | INFO | ('ÁVILA', 'Gasolina 98 E10') | Initializing
[140050452948736] | 05:15:07 | INFO | ('MÁLAGA', 'Gasóleo C') | Initializing
[140050444556032] | 05:15:07 | INFO | ('VALLADOLID', 'Gasóleo Premium') | Initializing
[140049958041344] | 05:15:07 | INFO | ('MADRID', 'Gasolina 95 E10') | Initializing
[140049949648640] | 05:15:07 | INFO | ('TERUEL', 'Gas natural comprimido') | Initializing
[140051863029504] | 05:15:28 | INFO | ('CEUTA', 'Gas natural comprimido') | Agent is Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0
[140051679602432] | 05:15:29 | INFO | ('BARCELONA', 'Gasolina 95 E10') | Agent is Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:49.0) Gecko/20100101 Firefox/49.0
[140051854636800] | 05:15:29 | INFO | ('PALMAS (LAS)', 'Gas natural comprimido') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.1 Safari/603.1.30
[140050981426944] | 05:15:31 | INFO | ('HUESCA', 'Biodiésel') | Agent is Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
[140050998212352] | 05:15:31 | INFO | ('VALLADOLID', 'Gasóleo B') | Agent is Mozilla/5.0 (Windows NT 10.0; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0
[140051662817024] | 05:15:31 | INFO | ('ARABA/ÁLAVA', 'Gasóleo C') | Agent is Mozilla/5.0 (Windows NT 6.1; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0
[140051863029504] | 05:15:32 | INFO | ('CEUTA', 'Gas natural comprimido') | Combination without results
[140051980478208] | 05:15:33 | INFO | ('CIUDAD REAL', 'Gasolina 98 E10') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7
[140049949648640] | 05:15:33 | INFO | ('TERUEL', 'Gas natural comprimido') | Agent is Mozilla/5.0 (Windows NT 10.0; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0
[140051854636800] | 05:15:34 | INFO | ('PALMAS (LAS)', 'Gas natural comprimido') | Combination without results
[140051006605056] | 05:15:34 | INFO | ('SEVILLA', 'Gas natural licuado') | Agent is Mozilla/5.0 (Windows NT 6.1; WOW64; rv:56.0) Gecko/20100101 Firefox/56.0
[140051023390464] | 05:15:35 | INFO | ('CANTABRIA', 'Gas natural licuado') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/601.6.17 (KHTML, like Gecko) Version/9.1.1 Safari/601.6.17
[140051646031616] | 05:15:36 | INFO | ('CORUÑA (A)', 'Gasóleo A habitual') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7
[140050469734144] | 05:15:36 | INFO | ('SORIA', 'Gasóleo A habitual') | Agent is Mozilla/5.0 (Windows NT 10.0; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0
[140050989819648] | 05:15:36 | INFO | ('CUENCA', 'Biodiésel') | Agent is Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36
[140051014997760] | 05:15:36 | INFO | ('BALEARS (ILLES)', 'Gasolina 98 E10') | Agent is Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36
[140050494912256] | 05:15:36 | INFO | ('ALBACETE', 'Gasóleo Premium') | Agent is Mozilla/5.0 (Windows NT 6.1; rv:43.0) Gecko/20100101 Firefox/43.0
[140050444556032] | 05:15:37 | INFO | ('VALLADOLID', 'Gasóleo Premium') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.1 Safari/603.1.30
[140051679602432] | 05:15:37 | INFO | ('BARCELONA', 'Gasolina 95 E10') | 1 pages found
[140051679602432] | 05:15:37 | INFO | ('BARCELONA', 'Gasolina 95 E10') | Crawling page = 1/1
[140050981426944] | 05:15:37 | INFO | ('HUESCA', 'Biodiésel') | Combination without results
[140050478126848] | 05:15:38 | INFO | ('VALENCIA / VALÈNCIA', 'Biodiésel') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
[140050452948736] | 05:15:38 | INFO | ('MÁLAGA', 'Gasóleo C') | Agent is Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
[140051871422208] | 05:15:39 | INFO | ('GIPUZKOA', 'Gasóleo Premium') | Agent is Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0
[140051671209728] | 05:15:39 | INFO | ('ARABA/ÁLAVA', 'Gasolina 95 E5') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7
[140051662817024] | 05:15:39 | INFO | ('ARABA/ÁLAVA', 'Gasóleo C') | 1 pages found
[140051662817024] | 05:15:39 | INFO | ('ARABA/ÁLAVA', 'Gasóleo C') | Crawling page = 1/1
[140051023390464] | 05:15:40 | INFO | ('CANTABRIA', 'Gas natural licuado') | Combination without results
[140050461341440] | 05:15:40 | INFO | ('ÁVILA', 'Gasolina 98 E10') | Agent is Mozilla/5.0 (Windows NT 6.1; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0
[140051654424320] | 05:15:40 | INFO | ('PONTEVEDRA', 'Gasóleo Premium') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/601.6.17 (KHTML, like Gecko) Version/9.1.1 Safari/601.6.17
[140050486519552] | 05:15:40 | INFO | ('BADAJOZ', 'Gasolina 95 E5 Premium') | Agent is Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
[140050989819648] | 05:15:40 | INFO | ('CUENCA', 'Biodiésel') | Combination without results
[140051006605056] | 05:15:41 | INFO | ('SEVILLA', 'Gas natural licuado') | 1 pages found
[140051006605056] | 05:15:41 | INFO | ('SEVILLA', 'Gas natural licuado') | Crawling page = 1/1
[140051014997760] | 05:15:42 | INFO | ('BALEARS (ILLES)', 'Gasolina 98 E10') | Combination without results
[140050998212352] | 05:15:42 | INFO | ('VALLADOLID', 'Gasóleo B') | 1 pages found
[140050998212352] | 05:15:42 | INFO | ('VALLADOLID', 'Gasóleo B') | Crawling page = 1/1
[140049958041344] | 05:15:42 | INFO | ('MADRID', 'Gasolina 95 E10') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/601.6.17 (KHTML, like Gecko) Version/9.1.1 Safari/601.6.17
[140050452948736] | 05:15:43 | INFO | ('MÁLAGA', 'Gasóleo C') | Combination without results
[140051031783168] | 05:15:43 | INFO | ('CÁCERES', 'Hidrógeno') | Agent is Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36
[140050461341440] | 05:15:45 | INFO | ('ÁVILA', 'Gasolina 98 E10') | Combination without results
[140050444556032] | 05:15:45 | INFO | ('VALLADOLID', 'Gasóleo Premium') | 5 pages found
[140050444556032] | 05:15:45 | INFO | ('VALLADOLID', 'Gasóleo Premium') | Crawling page = 1/5
[140051646031616] | 05:15:45 | INFO | ('CORUÑA (A)', 'Gasóleo A habitual') | 12 pages found
[140051646031616] | 05:15:45 | INFO | ('CORUÑA (A)', 'Gasóleo A habitual') | Crawling page = 1/12
[140050469734144] | 05:15:45 | INFO | ('SORIA', 'Gasóleo A habitual') | 2 pages found
[140050469734144] | 05:15:45 | INFO | ('SORIA', 'Gasóleo A habitual') | Crawling page = 1/2
[140050494912256] | 05:15:46 | INFO | ('ALBACETE', 'Gasóleo Premium') | 4 pages found
[140050494912256] | 05:15:46 | INFO | ('ALBACETE', 'Gasóleo Premium') | Crawling page = 1/4
[140050478126848] | 05:15:46 | INFO | ('VALENCIA / VALÈNCIA', 'Biodiésel') | 1 pages found
[140050478126848] | 05:15:46 | INFO | ('VALENCIA / VALÈNCIA', 'Biodiésel') | Crawling page = 1/1
[140051871422208] | 05:15:47 | INFO | ('GIPUZKOA', 'Gasóleo Premium') | 4 pages found
[140051871422208] | 05:15:47 | INFO | ('GIPUZKOA', 'Gasóleo Premium') | Crawling page = 1/4
[140051980478208] | 05:15:48 | WARNING | ('CIUDAD REAL', 'Gasolina 98 E10') | Exception raised in main loop
[140050469734144] | 05:15:48 | INFO | ('SORIA', 'Gasóleo A habitual') | Crawling page = 2/2
[140051980478208] | 05:15:48 | WARNING | ('CIUDAD REAL', 'Gasolina 98 E10') | Retry num 1 will begin in 2 minutes
[140051031783168] | 05:15:48 | INFO | ('CÁCERES', 'Hidrógeno') | Combination without results
[140050444556032] | 05:15:48 | INFO | ('VALLADOLID', 'Gasóleo Premium') | Crawling page = 2/5
