[140561856063232] | 05:15:39 | INFO | ('CEUTA', 'Gasolina 95 E5 Premium') | Agent is Mozilla/5.0 (Windows NT 10.0; rv:65.0) Gecko/20100101 Firefox/65.0
[140561302406912] | 05:15:39 | INFO | ('BARCELONA', 'Hidrógeno') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.1 Safari/603.1.30
[140561277228800] | 05:15:40 | INFO | ('BADAJOZ', 'Gas natural licuado') | Agent is Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
[140561814099712] | 05:15:40 | INFO | ('TOLEDO', 'Biodiésel') | Combination without results
[140561830885120] | 05:15:40 | INFO | ('CIUDAD REAL', 'Gas natural licuado') | Agent is Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.38 Safari/537.36
[140561319192320] | 05:15:40 | INFO | ('BADAJOZ', 'Hidrógeno') | Agent is Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[140562616981248] | 05:15:40 | INFO | ('GIRONA', 'Gasolina 95 E10') | 1 pages found
[140562616981248] | 05:15:40 | INFO | ('GIRONA', 'Gasolina 95 E10') | Crawling page = 1/1
[140561847670528] | 05:15:40 | INFO | ('BARCELONA', 'Gasolina 95 E5') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/601.6.17 (KHTML, like Gecko) Version/9.1.1 Safari/601.6.17
[140561310799616] | 05:15:41 | INFO | ('BALEARS (ILLES)', 'Gasolina 95 E10') | 1 pages found
[140561310799616] | 05:15:41 | INFO | ('BALEARS (ILLES)', 'Gasolina 95 E10') | Crawling page = 1/1
[140561839277824] | 05:15:41 | INFO | ('TERUEL', 'Gases licuados del petróleo') | Agent is Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.38 Safari/537.36
[140562859157248] | 05:15:41 | INFO | ('BIZKAIA', 'Gasolina 98 E5') | Crawling page = 2/4
[140562642159360] | 05:15:42 | INFO | ('CÁCERES', 'Bioetanol') | Combination without results
[140561294014208] | 05:15:42 | INFO | ('LLEIDA', 'Gasolina 95 E5') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
[140562808817408] | 05:15:43 | INFO | ('MURCIA', 'Gasóleo B') | 5 pages found
[140562808817408] | 05:15:43 | INFO | ('MURCIA', 'Gasóleo B') | Crawling page = 1/5
[140561864455936] | 05:15:43 | INFO | ('ASTURIAS', 'Gas natural comprimido') | 1 pages found
[140561864455936] | 05:15:43 | INFO | ('ASTURIAS', 'Gas natural comprimido') | Crawling page = 1/1
[140561302406912] | 05:15:43 | INFO | ('BARCELONA', 'Hidrógeno') | Combination without results
[140562850764544] | 05:15:43 | INFO | ('NAVARRA', 'Gasolina 95 E10') | 1 pages found
