[140182755931968] | 05:15:01 | INFO | GENERAL | Scraping process initiated
[140182755931968] | 05:15:06 | INFO | GENERAL | Agent is Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36
[140182478456576] | 05:15:07 | INFO | ('BURGOS', 'Gas natural licuado') | Initializing
[140182654621440] | 05:15:07 | INFO | ('SANTA CRUZ DE TENERIFE', 'Bioetanol') | Initializing
[140182663014144] | 05:15:07 | INFO | ('TARRAGONA', 'Hidrógeno') | Initializing
[140182671406848] | 05:15:07 | INFO | ('SEGOVIA', 'Gasolina 95 E5') | Initializing
[140182162503424] | 05:15:07 | INFO | ('GRANADA', 'Hidrógeno') | Initializing
[140182154110720] | 05:15:07 | INFO | ('BURGOS', 'Bioetanol') | Initializing
[140182145718016] | 05:15:07 | INFO | ('BALEARS (ILLES)', 'Gasolina 98 E5') | Initializing
[140182137325312] | 05:15:07 | INFO | ('SALAMANCA', 'Gas natural licuado') | Initializing
[140182128932608] | 05:15:07 | INFO | ('BARCELONA', 'Hidrógeno') | Initializing
[140182120539904] | 05:15:07 | INFO | ('CANTABRIA', 'Gasolina 98 E5') | Initializing
[140182112147200] | 05:15:07 | INFO | ('CIUDAD REAL', 'Gasóleo Premium') | Initializing
[140181558523648] | 05:15:07 | INFO | ('PONTEVEDRA', 'Biodiésel') | Initializing
[140181550130944] | 05:15:07 | INFO | ('BADAJOZ', 'Gasóleo A habitual') | Initializing
[140181541738240] | 05:15:07 | INFO | ('BURGOS', 'Gasolina 98 E5') | Initializing
[140181533345536] | 05:15:07 | INFO | ('ARABA/ÁLAVA', 'Gasóleo A habitual') | Initializing
[140181524952832] | 05:15:07 | INFO | ('ALICANTE', 'Gasolina 98 E5') | Initializing
[140181516560128] | 05:15:07 | INFO | ('LEÓN', 'Gasolina 95 E10') | Initializing
[140181508167424] | 05:15:07 | INFO | ('CIUDAD REAL', 'Gasóleo A habitual') | Initializing
[140181021652736] | 05:15:07 | INFO | ('LEÓN', 'Gasolina 98 E5') | Initializing
[140181013260032] | 05:15:07 | INFO | ('BADAJOZ', 'Gasolina 95 E5 Premium') | Initializing
[140181004867328] | 05:15:07 | INFO | ('SEVILLA', 'Gasolina 98 E5') | Initializing
[140180996474624] | 05:15:07 | INFO | ('MURCIA', 'Biodiésel') | Initializing
[140180988081920] | 05:15:07 | INFO | ('GRANADA', 'Gasolina 98 E5') | Initializing
[140180979689216] | 05:15:07 | INFO | ('LLEIDA', 'Gasolina 98 E10') | Initializing
[140180971296512] | 05:15:07 | INFO | ('HUESCA', 'Gas natural licuado') | Initializing
[140182663014144] | 05:15:27 | INFO | ('TARRAGONA', 'Hidrógeno') | Agent is Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0
[140182154110720] | 05:15:27 | INFO | ('BURGOS', 'Bioetanol') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15
[140182137325312] | 05:15:29 | INFO | ('SALAMANCA', 'Gas natural licuado') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[140181021652736] | 05:15:31 | INFO | ('LEÓN', 'Gasolina 98 E5') | Agent is Mozilla/5.0 (Windows NT 6.3; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0
[140182671406848] | 05:15:31 | INFO | ('SEGOVIA', 'Gasolina 95 E5') | Agent is Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36
[140182112147200] | 05:15:31 | INFO | ('CIUDAD REAL', 'Gasóleo Premium') | Agent is Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
[140181558523648] | 05:15:31 | INFO | ('PONTEVEDRA', 'Biodiésel') | Agent is Mozilla/5.0 (Windows NT 6.1; WOW64; rv:56.0) Gecko/20100101 Firefox/56.0
[140182478456576] | 05:15:31 | INFO | ('BURGOS', 'Gas natural licuado') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[140182145718016] | 05:15:32 | INFO | ('BALEARS (ILLES)', 'Gasolina 98 E5') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7
[140182654621440] | 05:15:32 | INFO | ('SANTA CRUZ DE TENERIFE', 'Bioetanol') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7
[140182154110720] | 05:15:32 | INFO | ('BURGOS', 'Bioetanol') | Combination without results
[140182663014144] | 05:15:33 | INFO | ('TARRAGONA', 'Hidrógeno') | Combination without results
[140180979689216] | 05:15:33 | INFO | ('LLEIDA', 'Gasolina 98 E10') | Agent is Mozilla/5.0 (Windows NT 6.1; rv:43.0) Gecko/20100101 Firefox/43.0
[140181541738240] | 05:15:34 | INFO | ('BURGOS', 'Gasolina 98 E5') | Agent is Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/601.6.17 (KHTML, like Gecko) Version/9.1.1 Safari/601.6.17
